Winner,FT,Loser,First Shooter
Colombia,1–1,Uruguay,Colombia
Argentina,1–1,Brazil,Brazil
Argentina,0–0,Colombia,Colombia
Colombia,1–1,Paraguay,Colombia
United States,0–0,Mexico,United States
Brazil,2–2,Argentina,Brazil
Uruguay,1–1,Brazil,Uruguay
Mexico,1–1,Ecuador,Ecuador
Mexico,3–3,Peru,Mexico
Uruguay,1–1,Paraguay,Uruguay
Uruguay,1–1,Chile,Uruguay
Honduras,2–2,Uruguay,Uruguay
Brazil,1–1,Uruguay,Brazil
Brazil,2–2,Argentina,Argentina
Brazil,2–2,Uruguay,Brazil
Uruguay,1–1 aet,Argentina,Argentina
Paraguay,0–0 aet,Brazil,Brazil
Paraguay,0–0 aet,Venezuela,Paraguay
Argentina,0–0,Colombia,Colombia
Paraguay,1–1,Brazil,Brazil
Chile,0–0 aet,Argentina,Chile
Colombia,0–0,Peru,Colombia
Chile,0–0 aet,Argentina,Chile
Brazil,0–0,Paraguay,Paraguay
Chile,0–0,Colombia,Colombia
Peru,0–0,Uruguay,Uruguay
Peru,3–3,Paraguay,Paraguay
Colombia,0–0,Uruguay,Colombia
Argentina,1–1,Colombia,Colombia
Argentina,1–1,Ecuador,Argentina
Canada,1–1,Venezuela,Venezuela
Uruguay,0–0,Brazil,Uruguay
Uruguay,2–2,Canada,Canada
