Winner,FT,Loser,First Shooter
West Germany,3–3,France,France
France,1–1,Brazil,Brazil
West Germany,0–0,Mexico,West Germany
Belgium,1–1,Spain,Spain
Republic of Ireland,0–0,Romania,Romania
Argentina,0–0,Yugoslavia,Argentina
Argentina,1–1,Italy,Italy
West Germany,1–1,England,England
Bulgaria,1–1,Mexico,Mexico
Sweden,2–2,Romania,Sweeden
Brazil,0–0,Italy,Italy
Argentina,2–2,England,Argentina
France,0–0,Italy,France
Brazil,1–1,Netherlands,Brazil
Spain,1–1,Republic of Ireland,Republic of Ireland
South Korea,0–0,Spain,South Korea
Ukraine,0–0,Switzerland,Ukraine
Germany,1–1,Argentina,Germany
Portugal,0–0,England,Portugal
Italy,1–1,France,Italy
Paraguay,0–0,Japan,Paraguay
Uruguay,1–1,Ghana,Uruguay
Brazil,1–1,Chile,Brazil
Costa Rica,1–1,Greece,Costa Rica
Netherlands,0–0,Costa Rica,Costa Rica
Argentina,0–0,Netherlands,Netherlands
Russia,1–1,Spain,Spain
Croatia,1–1,Denmark,Denmark
England,1–1,Colombia,Colombia
Croatia,2–2,Russia,Russia
Croatia,1–1,Japan,Japan
Morocco,0–0,Spain,Morocco
Croatia,1–1,Brazil,Croatia
Argentina,2–2,Netherlands,Netherlands
Argentina,3–3,France,France
